time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1994-01-19T20:27:22.990Z,34.333,-118.657,24.203,1.78,mc,0,236.4,,0.191,ci,ci3142332,2016-02-13T03:34:33.508Z,"10km NNW of Chatsworth, California",earthquake,,5.288,,9,reviewed,ci,ci
1994-01-19T20:23:46.460Z,34.342,-118.479,4.414,2.17,mc,0,71.3,,0.226,ci,ci3142330,2016-02-13T03:34:32.273Z,"8km NNW of Pacoima, California",earthquake,,0.195,,33,reviewed,ci,ci
1994-01-19T20:17:51.650Z,34.361,-118.705,12.486,3.28,ml,0,77.6,,0.284,ci,ci3142328,2016-02-11T23:47:51.866Z,"10km SE of Piru, California",earthquake,,0.488,,46,reviewed,ci,ci
1994-01-19T20:16:36.460Z,34.399,-118.492,1.826,1.77,mc,0,139,,0.198,ci,ci3142327,2016-02-11T21:13:46.127Z,"2km SE of Santa Clarita, California",earthquake,,1.273,,8,reviewed,ci,ci
1994-01-19T20:15:12.570Z,34.448,-118.577,11.803,1.65,mc,0,130.5,,0.208,ci,ci3142325,2016-02-13T03:34:30.954Z,"1km SW of Valencia, California",earthquake,,4.045,,10,reviewed,ci,ci
1994-01-19T20:02:33.480Z,42.2628333,-121.9635,8.014,1.4,md,4,266,0.0744,0.18,uw,uw10334148,2016-07-24T00:01:45.560Z,"Oregon",earthquake,1.609,1.19,0.05,3,reviewed,uw,uw
1994-01-19T20:00:11.960Z,34.258,-118.473,14.459,1.99,mc,0,89,,0.251,ci,ci3142324,2016-02-12T04:47:59.248Z,"3km ESE of Granada Hills, California",earthquake,,1.339,,14,reviewed,ci,ci
1994-01-19T19:58:02.050Z,33.14,-116.016,9.381,1.21,mc,0,62.5,0.1368,0.228,ci,ci3142323,2016-02-11T21:13:44.871Z,"11km E of Ocotillo Wells, California",earthquake,,4.629,,6,reviewed,ci,ci
1994-01-19T19:50:08.960Z,34.281,-118.45,9.655,3.7,ml,0,54.8,,0.212,ci,ci3142322,2016-02-13T06:01:38.480Z,"1km W of San Fernando, California",earthquake,,0.674,,47,reviewed,ci,ci
1994-01-19T19:46:36.590Z,34.371,-118.619,10.398,2.03,mc,0,141.6,,0.253,ci,ci3167472,2016-02-13T06:01:37.022Z,"10km SSW of Valencia, California",earthquake,,2.616,,21,reviewed,ci,ci
